date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:42	749/749	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2027%20Sep%202016%2021:05:35%20GMT	http://ecommerceforest.com/robots.txt		(from )
16:05:43	34429/34429	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202016%2001:28:30%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/index.html	(from )
16:05:44	121200/121200	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jul%202016%2013:03:34%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/css/bootstrap.min.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/css/bootstrap.min.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:44	27466/27466	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202015%2016:45:18%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/font-awesome/css/font-awesome.min.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:44	1476/1476	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Dec%202014%2017:22:34%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.carousel.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:44	4476/4476	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Dec%202014%2017:22:34%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.transitions.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.transitions.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:45	1665/1665	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Dec%202014%2017:22:34%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/owl-carousel/owl.theme.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:45	8049/8049	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2023:36:22%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/magnific-popup/magnific-popup.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:45	17554/17554	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Feb%202016%2002:18:52%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/datepicker/datepicker.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/js/plugins/datepicker/datepicker.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
16:05:45	46201/46201	---MCZ	200	added ('OK')	text/css	date:Sat,%2030%20Apr%202016%2000:15:26%20GMT	http://ecommerceforest.com/wrap/FoodBingo/V1.1/css/style.css	C:/My%20Web%20Sites/rebaza2/ecommerceforest.com/wrap/FoodBingo/V1.1/css/style.css	(from http://ecommerceforest.com/wrap/FoodBingo/V1.1/)
